,rural communities,small growers,investor growers,small growers (white area),investor growers (white area),municipalities,other dischargers,Grower advocacy groups,UC Extension/research community,Sustainable conservation,Flood-MAR network,groundwater leadership forum,EJ groups,MPEP,PCAs/CCAs,environmental orgs,Bureau of Reclamation,Friant Water Authority,Friant-Kern Canal,Irrigation/water districts,DWR,Water Rights Division (SWRCB),Financial Assistance (SWRCB),Drinking Water Division (SWRCB),Division of Water Quality (SWRCB),NRCS,County Board of Supervisors,Local Water Boards,CV SALTS management zones,central valley water board,water quality coalitions,CDFA,RCDs,Regional water management groups
rural communities,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
small growers,,,,,,,,1,,2,,,,1,1,,,,,0.5,,,,,,,,,,,1,,,
investor growers,,,,,,,,2,,,,,,1,2,,,,,2,,,,,,,,,,,2,,,
small growers (white area),,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,1,,,
investor growers (white area),,,,,,,,2,,,,,,1,2,,,,,,,,,,,,,,,,2,,,
municipalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other dischargers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grower advocacy groups,,2,2,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
UC Extension/research community,,2,1,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,
Sustainable conservation,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flood-MAR network,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,
groundwater leadership forum,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,
EJ groups,3,,,,,,,,,,,1,,,,,,,,,,,2,2,2,,,,,,,,,
MPEP,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,
PCAs/CCAs,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Environmental orgs,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Bureau of Reclamation,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Friant Water Authority,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
Friant-Kern Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigation/water districts,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,
DWR,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,2
Water Rights Division (SWRCB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Assistance (SWRCB),,,,,,,,,2,,,,2,,,,,,,,,,,,,,,2,,,,,1,
Drinking Water Division (SWRCB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Division of Water Quality (SWRCB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRCS,,1,,1,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,
County Board of Supervisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Water Boards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV SALTS management zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central valley water board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,
water quality coalitions,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,0.5,,,,1,
CDFA,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,
RCDs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2
Regional water management groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
